Date,GGAL USD,BMA USD,SUPV USD
2016-05-19,26.2,60.0,11.5
2016-05-20,27.1,60.56,11.5
2016-05-23,26.98,61.9,11.2
2016-05-24,26.86,60.18,11.52
2016-05-25,26.84,60.01,11.39
2016-05-26,27.31,60.49,11.4
2016-05-27,28.03,61.14,11.42
2016-05-31,28.41,62.5,11.39
2016-06-01,28.14,62.73,11.35
2016-06-02,28.78,65.97,11.41
2016-06-03,28.75,66.47,11.71
2016-06-06,29.24,66.88,11.82
2016-06-07,29.59,68.92,12.13
2016-06-08,29.82,68.64,12.25
2016-06-09,29.65,69.08,12.25
2016-06-10,29.76,69.88,12.07
2016-06-13,29.93,69.18,12.25
2016-06-14,30.3,70.2,11.91
2016-06-15,30.41,70.84,11.97
2016-06-16,30.16,70.15,12.15
2016-06-17,31.19,74.26,12.16
2016-06-20,31.85,76.24,12.88
2016-06-21,31.26,74.43,12.85
2016-06-22,31.13,74.49,12.77
2016-06-23,31.09,73.46,12.71
2016-06-24,29.71,68.9,12.27
2016-06-27,28.73,68.11,11.94
2016-06-28,29.88,71.8,12.28
2016-06-29,31.0,73.85,12.63
2016-06-30,30.54,74.22,12.79
2016-07-01,30.93,74.07,13.07
2016-07-05,30.67,74.5,12.95
2016-07-06,30.6,74.19,12.74
2016-07-07,30.76,74.58,12.7
2016-07-08,30.88,75.16,12.7
2016-07-11,31.17,75.81,12.68
2016-07-12,31.12,76.22,12.8
2016-07-13,31.7,77.53,12.55
2016-07-14,32.16,79.34,12.85
2016-07-15,31.67,78.73,13.14
2016-07-18,31.88,78.98,13.12
2016-07-19,31.9,79.01,13.54
2016-07-20,31.21,77.26,13.39
2016-07-21,30.51,76.68,13.3
2016-07-22,30.51,77.18,13.52
2016-07-25,30.58,76.66,13.5
2016-07-26,30.22,75.6,13.4
2016-07-27,29.76,74.22,13.39
2016-07-28,29.56,74.13,13.27
2016-07-29,29.68,75.13,13.55
2016-08-01,29.14,72.65,13.32
2016-08-02,28.74,72.09,13.26
2016-08-03,29.48,72.83,13.25
2016-08-04,29.5,73.98,13.25
2016-08-05,29.37,73.67,13.53
2016-08-08,29.67,73.6,13.63
2016-08-09,29.86,74.18,13.48
2016-08-10,29.64,75.49,13.35
2016-08-11,29.5,76.28,13.55
2016-08-12,28.82,76.04,13.52
2016-08-15,29.2,76.53,13.51
2016-08-16,28.77,76.02,13.16
2016-08-17,28.53,75.69,13.04
2016-08-18,29.26,75.85,13.42
2016-08-19,29.14,76.11,13.5
2016-08-22,29.59,76.88,13.38
2016-08-23,30.12,78.14,13.47
2016-08-24,30.94,79.91,13.3
2016-08-25,30.79,80.73,13.36
2016-08-26,30.2,79.0,13.39
2016-08-29,30.82,79.72,13.54
2016-08-30,30.46,78.47,13.88
2016-08-31,29.76,78.34,14.06
2016-09-01,30.38,78.46,13.85
2016-09-02,30.55,78.26,14.0
2016-09-06,31.21,79.8,14.36
2016-09-07,31.3,79.33,14.43
2016-09-08,30.2,77.27,14.38
2016-09-09,29.04,74.59,14.4
2016-09-12,29.64,76.0,14.16
2016-09-13,29.16,73.82,14.05
2016-09-14,28.62,71.93,14.24
2016-09-15,28.93,72.97,14.64
2016-09-16,28.46,72.81,14.8
2016-09-19,28.73,74.08,15.4
2016-09-20,28.56,73.46,15.4
2016-09-21,29.38,74.41,14.97
2016-09-22,30.36,76.48,14.95
2016-09-23,30.31,74.57,15.15
2016-09-26,29.8,75.94,14.93
2016-09-27,30.07,76.58,14.74
2016-09-28,30.3,76.2,14.76
2016-09-29,30.68,76.75,14.8
2016-09-30,31.11,78.25,14.81
2016-10-03,30.97,78.1,15.03
2016-10-04,31.84,79.28,15.04
2016-10-05,32.5,79.71,15.15
2016-10-06,31.78,79.42,15.26
2016-10-07,31.52,78.34,14.86
2016-10-10,32.08,78.0,14.78
2016-10-11,31.6,76.6,14.76
2016-10-12,31.69,76.84,14.65
2016-10-13,31.39,77.28,14.71
2016-10-14,31.62,79.3,14.75
2016-10-17,31.79,79.92,14.85
2016-10-18,31.51,79.3,15.07
2016-10-19,32.07,80.79,15.01
2016-10-20,31.94,79.87,15.12
2016-10-21,31.62,79.48,15.1
2016-10-24,31.62,78.89,15.09
2016-10-25,31.24,78.28,14.99
2016-10-26,31.03,77.0,14.82
2016-10-27,31.2,76.94,14.85
2016-10-28,31.29,76.51,15.07
2016-10-31,31.14,76.23,15.18
2016-11-01,30.68,75.75,15.02
2016-11-02,29.73,75.05,14.8
2016-11-03,29.29,74.83,14.61
2016-11-04,29.52,74.35,14.63
2016-11-07,30.71,75.91,14.96
2016-11-08,30.93,75.01,14.95
2016-11-09,29.91,75.63,15.17
2016-11-10,28.21,71.0,14.67
2016-11-11,28.12,68.29,14.37
2016-11-14,27.4,68.4,14.48
2016-11-15,28.59,70.12,14.6
2016-11-16,28.37,69.45,14.48
2016-11-17,28.6,71.39,14.45
2016-11-18,28.34,70.58,14.41
2016-11-21,29.15,72.22,14.5
2016-11-22,29.11,73.28,14.5
2016-11-23,29.02,72.24,14.53
